attendance_bucket,Category,Borough,Location,Event Name,Event Type,time_of_day,day_type,audience_1,audience_2,audience_3,audience_4,audience_5,audience_6,audience_7,audience_8
med_attendance,Sport,Manhattan,Columbus Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Sport,Manhattan,Highbridge Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,children_audience,tot_audience,teens_audience,,,,,
low_attendance,Sport,Manhattan,Thomas Jefferson Park,SSE Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Manhattan,Marcus Garvey Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,teens_audience,children_audience,,,,,
unknown_attendance,Sport,Bronx,St. Mary's Park,Sports N Fitness,Community Based Event,morning_time,weekend,teens_audience,,,,,,,
unknown_attendance,Sport,Bronx,St. Mary's Park,Basketball/Player Devlopment,Community Based Event,afternoon_time,weekend,teens_audience,,,,,,,
med_attendance,Sport,Manhattan,Carmansville Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,teens_audience,tot_audience,children_audience,,,,,
low_attendance,Sport,Bronx,Haffen Park,Basketball Skills,Agency Produced Event,morning_time,weekday,children_audience,young_adult_audience,teens_audience,,,,,
unknown_attendance,Sport,Manhattan,Hamilton Fish Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Manhattan,Marcus Garvey Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
low_attendance,Sport,Manhattan,Thomas Jefferson Park,SSE Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Manhattan,Columbus Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Sport,Manhattan,Highbridge Park,KIM Outdoor Programming,Community Based Event,morning_time,weekday,tot_audience,children_audience,teens_audience,,,,,
med_attendance,Fitness,Bronx,Williamsbridge Oval Park,Family Fun,Local Event,morning_time,weekday,children_audience,,,,,,,
low_attendance,Fitness,Staten Island,Freshkills Park,Stronger Than Ever - Freshkills walk,Open House,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Fitness,Staten Island,Jennifer's Playground,Stronger Than Ever,Open House,morning_time,weekday,seniors_audience,,,,,,,
unknown_attendance,Sport,Bronx,St. Mary's Recreation Center,Sports N Fitness,Community Based Event,morning_time,weekend,teens_audience,,,,,,,
med_attendance,Fitness,Brooklyn,Leif Ericson Park,Pick Up Pickleball,Local Event,morning_time,weekday,seniors_audience,,,,,,,
med_attendance,Fitness,Brooklyn,McKinley Park,Soccer Skills,Local Event,afternoon_time,weekday,children_audience,,,,,,,
